customer_id,order_number,customer_zip,item_sku,item_category,item_cost
512840,5128401,67890,F2S9D7F3,Jeans,89.99
567812,5678121,12345,aB3C5dE7,Shirts,49.99
621948,6219481,45678,K7N2B6V9,Shirts,49.99
625430,6254301,87654,H7T4U9X2,Pants,49.99
651927,6519271,67890,F8R3S9W2,Sweaters,0.069
651927,6519272,67890,F8R3S9W2,Sweaters,69.99
651927,6519273,67890,F8R3S9W2,Sweaters,69.99
731952,7319521,89012,Y2T5U9I1,Pants,79.99
785139,7851391,89012,P9R3B7H2,Sweaters,69.99
786415,7864151,43210,L8V2B6N9,Shorts,5999
