customer_id,order_number,customer_zip,item_sku,item_category,item_cost
349218,3492181,98765-5842,K3M7N9B1,Sweaters,70
389215,3892151,34567,W6Z2C8Y4,Tops,39.99
458901,4589011,56789,S4F9G7J3,Jeans,89.99
475012,4750121,78901,N1V8M7C3,Skirts,69.99
509641,5096411,54321,V4C9X2Z7,Tops,39.99
512840,5128401,67890,F2S9D7F3,Jeans,89.99
567812,5678121,78459-0000,aB3C5dE7,Shirts,50
621948,6219481,45678,K7N2B6V9,Shirts,49.99
625430,6254301,87654,H7T4U9X2,Jeans,49.99
651927,6519271,67890,F8R3S9W2,Sweaters,69.99
