Data Before Cube Root Transformation,Data After Cube Root Transformation
0.46926809,0.7770942124
3.010121431,1.443869708
1.316745694,1.096059092
0.9129425538,0.9700954856
0.1696248705,0.5535580571
0.1695962919,0.5535269673
0.05983876861,0.3911357831
2.011230864,1.262274983
0.9190821536,0.9722652812
1.231250062,1.071804119
0.020799308,0.2750107235
3.503557475,1.518808721
1.786429543,1.213375712
0.2386876252,0.6203116931
0.2006789887,0.5854645919
0.2026114228,0.5873378315
0.3627537295,0.713187893
0.7439278309,0.9061016796
0.5655370668,0.8269648018
0.3442229926,0.7008309809
0.9463708739,0.9817941844
0.1502345287,0.5316060559
0.345515512,0.7017070663
0.4562772182,0.7698561705
0.6089346879,0.8475986144
1.537936011,1.154284212
0.2227358621,0.606173178
0.722029155,0.8971221471
0.8975047213,0.9645962753
0.04756384976,0.362320021
0.9353330206,0.9779622452
0.186961252,0.5718084065
0.06726393088,0.4066874287
2.973687794,1.438020653
3.370630342,1.499352364
1.652331573,1.182222082
0.36328786,0.7135377618
0.102777315,0.4684167566
1.152750763,1.048524235
0.5800908426,0.8339986287
0.130152234,0.5067773649
0.6835472281,0.8808923576
0.03499372144,0.3270870703
2.400422887,1.338944533
0.2994577768,0.6690293935
1.086255799,1.02796273
0.3735465817,0.7201919381
0.7341108959,0.9020983532
0.791223798,0.9249106504
0.2043885995,0.5890500845
3.492807133,1.517253688
1.492245377,1.142738205
2.805094419,1.410314036
2.252151998,1.310788329
0.9110544124,0.9694262425
2.549435379,1.366096366
0.09265545895,0.4525053003
0.2181346946,0.6019700932
0.04628196569,0.3590353953
0.3935320868,0.7328133675
0.4921302918,0.7895143582
0.3165604432,0.6815308958
1.764557865,1.208403483
0.4412269995,0.7612968391
0.3298028401,0.6909046736
0.7824070832,0.9214623417
0.1518981478,0.5335611002
1.620483596,1.174577146
0.07747586881,0.4263066936
4.33414634,1.630426368
1.479483776,1.13947133
0.2215394405,0.6050858795
0.005537420376,0.1769168364
1.689896777,1.191114174
1.227095907,1.070597363
1.305662909,1.09297532
1.475214526,1.138374241
0.07692926551,0.4253017751
0.4438926724,0.7628268869
0.1231501046,0.4975212043
1.988529572,1.257507791
0.9763011917,0.9920371587
0.4018188013,0.7379213649
0.0656680658,0.4034453754
0.3724883504,0.7195112104
0.3933142132,0.7326781052
1.307875784,1.093592441
1.014889359,1.004938689
2.182251912,1.297084574
0.6390661334,0.8613545148
0.1273723936,0.5031433883
1.249126344,1.076966322
1.430392753,1.126726305
0.8238874949,0.9374669599
1.473889967,1.138033433
0.6808147315,0.8797169938
0.7396788388,0.9043732986
0.5578141939,0.8231832413
0.02574777399,0.2952885198
0.1141674352,0.4851180287
